epoch,test_acc,test_auc,mean_train_acc,mean_train_auc,mean_train_crossentropy_loss_during_epoch
88,0.962732919,0.968085349,0.999672131,1,0.017851261
89,0.965838509,0.968529216,0.999701937,1,0.016584787
90,0.962732919,0.969398254,0.999836066,0.999995775,0.016969017
91,0.965838509,0.967558146,0.999508197,0.999994437,0.017244066
92,0.962732919,0.968725813,0.999701937,0.99997991,0.017011154
93,0.962732919,0.968511688,0.999672131,0.999991286,0.017697072
94,0.959627329,0.968173607,0.999836066,0.999980677,0.016799482
95,0.959627329,0.968675337,1,1,0.01682774
96,0.962732919,0.968858018,0.999344262,0.999996119,0.016796575
97,0.962732919,0.969076383,0.999180328,0.999970877,0.017915002
98,0.959627329,0.968955719,0.999672131,0.999985803,0.015695678
99,0.962732919,0.969386319,0.999836066,1,0.016727026
